NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.026058e-1,-1.700691e-1,-9.460273e-2,-1.801938e-1,-4.280714e-1,-8.729956e-1,-1.149268,-1.227221,-1.137267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.918711,-1.129605,-6.810878e-1,-3.884074e-1,-2.591626e-1,-2.957353e-1,-4.954365e-1,-9.316287e-1,-1.273277,-1.373706,-1.287078,-1.045708,-6.689388e-1,-5.353957e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.3583,-2.280706,-2.111663,-1.755709,-1.202711,-8.254712e-1,-6.278081e-1,-6.078697e-1,-7.580467e-1,-1.12688,-1.448096,-1.519439,-1.40474,-1.139162,-7.417685e-1,-5.613043e-1,-4.130327e-1,-2.706069e-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,-2.59843,-2.598362,-2.567716,-2.469111,-2.235119,-1.935621,-1.448376,-1.168782,-1.086285,-1.18765,-1.475891,-1.668551,-1.651367,-1.474227,-1.164558,-7.266581e-1,-5.629716e-1,-4.065526e-1,-2.615782e-1,-1.253563e-1,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,-2.452272,-2.88053,-2.924419,-2.962295,-2.983733,-2.970871,-2.89282,-2.819831,-2.20887,-1.841671,-1.695118,-1.750463,-1.900755,-1.882614,-1.729786,-1.461356,-1.089268,-7.172861e-1,-5.327832e-1,-3.718699e-1,-2.305965e-1,-1.010525e-1,2.630504e-2,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,-2.49692,-3.252005,-3.360893,-3.420477,-3.479059,-3.537302,-3.592178,-3.644027,-3.054725,-2.608168,-2.403548,-2.418674,-2.259578,-2.006623,-1.697477,-1.320489,-9.029639e-1,-6.536599e-1,-4.540416e-1,-2.955679e-1,-1.675562e-1,-5.670042e-2,4.482165e-2,9.679298e-2,NaN,NaN,NaN,NaN
NaN,NaN,NaN,-1.790058,-2.310737,-3.031064,-3.776329,-3.937311,-4.003821,-4.102088,-4.242991,-4.444819,-3.940531,-3.443721,-3.193943,-2.88956,-2.412222,-1.956577,-1.496972,-1.05698,-7.90413e-1,-5.123167e-1,-3.061871e-1,-1.579844e-1,-5.43648e-2,6.718805e-2,1.680568e-1,2.276238e-1,2.878527e-1,NaN,NaN,NaN
NaN,NaN,-1.309041,-1.633007,-2.112582,-2.757228,-3.571515,-4.390126,-4.514426,-4.622442,-4.80625,-5.065744,-4.576357,-4.215121,-3.675715,-2.939778,-2.294427,-1.71988,-1.237324,-8.631495e-1,-5.639446e-1,-2.734741e-1,-6.689122e-2,6.730438e-2,1.71482e-1,2.911513e-1,3.560436e-1,4.082523e-1,4.559216e-1,NaN,NaN,NaN
NaN,NaN,-1.191193,-1.485391,-1.916605,-2.481991,-3.173057,-3.96922,-4.694651,-5.078219,-5.277976,-5.279858,-4.684037,-3.986538,-3.293876,-2.636072,-2.027549,-1.476365,-9.870004e-1,-5.613312e-1,-2.080003e-1,7.670253e-2,2.844834e-1,3.601093e-1,4.595061e-1,5.498105e-1,6.062138e-1,6.440234e-1,6.738112e-1,7.028207e-1,NaN,NaN
NaN,-9.503727e-1,-1.09148,-1.352945,-1.734912,-2.225119,-2.808621,-3.465034,-4.164932,-4.456027,-4.709717,-4.31608,-3.830391,-3.288365,-2.723661,-2.162662,-1.624467,-1.122784,-6.669417e-1,-2.624942e-1,8.837057e-2,3.880512e-1,5.803332e-1,6.788183e-1,8.100194e-1,8.861691e-1,9.249922e-1,9.414339e-1,9.474738e-1,9.522171e-1,NaN,NaN
NaN,-8.109716e-1,-9.97703e-1,-1.238529,-1.575884,-1.999503,-2.491626,-3.035226,-3.610486,-3.870975,-3.677444,-3.381406,-3.006112,-2.575192,-2.111762,-1.636511,-1.166791,-7.16466e-1,-2.959156e-1,8.791573e-2,4.314291e-1,7.343263e-1,9.986877e-1,1.140949,1.25029,1.305216,1.320356,1.309832,1.286588,1.242917,1.129937,NaN
-5.352325e-1,-6.443918e-1,-8.117024e-1,-1.056294,-1.399679,-1.813523,-2.230275,-2.675562,-2.999437,-2.952381,-2.799232,-2.564863,-2.26341,-1.910495,-1.522294,-1.114421,-7.010377e-1,-2.942991e-1,9.60289e-2,4.627584e-1,8.012758e-1,1.109285,1.386162,1.630369,1.777698,1.813608,1.803429,1.704449,1.544233,1.390321,1.258508,NaN
-4.030481e-1,-4.953341e-1,-6.391835e-1,-8.445771e-1,-1.119233,-1.461187,-1.831457,-2.095267,-2.256913,-2.198822,-2.067543,-1.870748,-1.617287,-1.31748,-9.82605e-1,-6.241887e-1,-2.532972e-1,1.200292e-1,4.872052e-1,8.41364e-1,1.177451,1.492187,1.78422,2.055694,2.193599,2.238601,2.114679,1.937761,1.750369,1.571131,1.414361,NaN
-2.868885e-1,-3.599989e-1,-4.783776e-1,-6.459534e-1,-8.627443e-1,-1.121366,-1.404316,-1.614612,-1.650151,-1.588019,-1.466338,-1.290765,-1.067009,-8.018454e-1,-5.030614e-1,-1.790286e-1,1.617937e-1,5.113173e-1,8.621983e-1,1.208089,1.543779,1.865301,2.170318,2.459506,2.67441,2.626084,2.434965,2.220472,1.998761,1.786828,1.599023,1.444947
-1.849795e-1,-2.369548e-1,-3.296497e-1,-4.632564e-1,-6.330354e-1,-8.283373e-1,-1.032769,-1.189933,-1.17165,-1.098991,-9.781722e-1,-8.126163e-1,-6.057384e-1,-3.618343e-1,-8.616828e-2,2.152588e-1,5.360429e-1,8.697106e-1,1.209996,1.551032,1.887457,2.214479,2.528071,2.825513,3.106675,3.040982,2.809543,2.556275,2.295343,2.043644,1.817443,1.628843
-9.601724e-2,-1.244173e-1,-1.918605e-1,-2.967703e-1,-4.30681e-1,-5.795722e-1,-7.350956e-1,-8.404417e-1,-7.983265e-1,-7.120313e-1,-5.866596e-1,-4.237394e-1,-2.24986e-1,7.075322e-3,2.689963e-1,5.565247e-1,8.648138e-1,1.188634,1.522552,1.861029,2.198451,2.529066,2.846859,3.145467,3.41195,3.376833,3.247374,2.959242,2.656865,2.357167,2.081372,1.847799
-7.136994e-2,-6.555229e-2,-9.603552e-2,-1.708536e-1,-2.842265e-1,-4.162604e-1,-5.223215e-1,-5.73708e-1,-5.10227e-1,-4.103205e-1,-2.777071e-1,-1.129371e-1,8.337623e-2,3.099266e-1,5.645466e-1,8.442473e-1,1.145311,1.463419,1.793706,2.130796,2.468719,2.800761,3.119173,3.414639,3.66875,3.608511,3.413868,3.001705,2.631721,2.310784,2.053109,1.87425
-5.712793e-2,-5.605908e-2,-7.913409e-2,-1.289282e-1,-2.006596e-1,-2.815019e-1,-3.532863e-1,-3.734715e-1,-2.928782e-1,-1.807209e-1,-3.998433e-2,1.290154e-1,3.262687e-1,5.512512e-1,8.026699e-1,1.078408,1.375548,1.69038,2.018392,2.35419,2.691382,3.022412,3.338417,3.628986,3.880891,3.600893,3.097614,2.652525,2.272139,1.963692,1.734661,1.59063
-4.357651e-2,-4.295319e-2,-5.911762e-2,-9.230072e-2,-1.381957e-1,-1.871645e-1,-2.252232e-1,-2.189446e-1,-1.358432e-1,-1.330505e-2,1.352459e-1,3.093278e-1,5.091558e-1,7.346516e-1,9.850746e-1,1.258895,1.553717,1.866219,2.192046,2.525653,2.860126,3.187097,3.497168,3.781515,3.833791,3.335486,2.787079,2.317687,1.936646,1.64814,1.452095,NaN
-3.277967e-2,-3.079757e-2,-4.118394e-2,-6.33367e-2,-9.35508e-2,-1.240228e-1,-1.401094e-1,-1.101745e-1,-3.074618e-2,9.955803e-2,2.546413e-1,4.334589e-1,6.361209e-1,8.627082e-1,1.112789,1.385183,1.67782,1.987598,2.310192,2.639804,2.968888,3.287989,3.586628,3.857749,3.561026,3.050208,2.468954,1.980391,1.609359,1.352957,1.200332,NaN
